DRE,Mês de competência,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGTS e Multa de FGTS,"0,00","0,00","0,00","0,00","0,00","0,00","-236,17","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-236,17"
Honorários Contábeis,"0,00","0,00","-1.400,00","-1.400,00","-1.400,00","-1.400,00","-1.400,00","-1.400,00","-1.400,00","-1.540,00","-1.540,00","-2.640,00","-1.540,00","-1.540,00","-1.652,00","-1.652,00","-1.652,00","-1.652,00","-1.652,00","-1.652,00","-1.652,00","-1.652,00","-1.652,00","-3.004,00","-1.652,00","-1.742,00","-1.742,00","-1.742,00","-1.742,00","-1.742,00","-1.742,00","-1.742,00","-1.742,00","-1.742,00","-1.742,00","-3.184,00","-1.784,00","-1.784,00","-1.784,00","-1.784,00","-1.784,00","-1.784,00","-1.784,00","-1.784,00","-1.784,00","-1.784,00","-1.784,00","-3.268,00","-1.784,00","-1.899,90","-1.899,90","-1.899,90","-1.899,90","-1.899,90","-1.899,90","-1.899,90","-1.899,90","-1.899,90","-1.899,90","-1.899,90","-1.899,90","-106.202,80"
Hospedagem Site e Emails,"-370,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-112,00","0,00","0,00","0,00","-422,71","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-457,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-47,70","0,00","-520,93","-724,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.655,15"
IRRF sobre Pró-labore - Darf,"0,00","0,00","0,00","0,00","0,00","0,00","-57,45","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-57,45"
Manutenção de Equipamentos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-3.862,74","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-3.862,74"
Manutenção de Veículos,"0,00","0,00","0,00","0,00","0,00","0,00","-917,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-917,00"
Materiais de Escritório,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","-220,00","-1.324,98","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-220,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-191,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-200,00","0,00","0,00","-250,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.406,58"
Plano de Saúde Colaboradores,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-734,00","-734,00","-734,00","-734,00","-1.460,27","-1.444,61","-1.444,61","-1.505,13","-1.505,13","-1.513,15","-1.585,21","-1.676,38","-1.744,76","-1.677,83","-1.709,36","-1.702,38","-1.614,55","-1.903,07","-2.047,60","-1.913,02","-1.746,90","-1.704,90","-1.943,27","-1.825,04","-1.969,15","-1.969,15","-1.969,15","-1.990,15","-1.969,15","-2.127,89","-2.054,83","-2.012,68","-2.033,15","-1.973,15","-2.101,45","-1.997,99","-2.391,07","-2.428,29","-3.294,66","-3.393,59","-3.218,29","-3.324,39","-3.319,76","-3.204,42","-3.400,57","-3.269,46","-3.392,45","-3.763,94","-4.610,77","-4.396,58","-4.254,76","-4.254,76","-4.254,76","-120.943,58"
PLR - Participação nos Lucros e Resultados,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-280,00","-53.500,00","-35.000,00","-34.000,00","-50.000,00","-48.120,00","-92.540,00","-96.940,00","-45.440,00","-64.000,00","-41.139,14","-61.450,00","-49.399,14","-46.100,00","-43.000,00","-45.000,00","-88.157,14","-45.000,00","-60.449,14","-46.250,00","-36.250,00","-41.940,34","-5.250,00","-6.250,00","-24.750,00","-16.250,00","-3.162,00","-11.250,00","-2.857,13","-1.250,00","0,00","-15.000,00","0,00","0,00","-15.000,00","-15.000,00","0,00","0,00","0,00","0,00","-3.000,00","0,00","-176,80","0,00","-10.000,00","0,00","-10.000,00","0,00","0,00","-1.263.150,83"
Pró-labore,"0,00","-10.000,00","-38.500,00","-12.000,00","-19.500,00","-9.000,00","-13.000,00","-32.675,00","-35.482,42","-7.541,88","-5.000,00","-41.000,00","-5.000,00","-5.000,00","-5.000,00","-15.000,00","-5.000,00","-5.000,00","-5.000,00","-5.000,00","-5.000,00","-5.000,00","-5.000,00","-5.000,00","-5.000,00","-5.000,00","-5.000,00","-5.000,00","-11.000,00","-5.000,00","-5.000,00","-7.538,96","-13.000,00","-5.000,00","-6.500,00","-15.000,00","-13.500,00","0,00","-2.500,00","0,00","-2.000,00","0,00","0,00","-2.400,00","-3.000,00","0,00","0,00","0,00","0,00","0,00","-18.000,00","0,00","0,00","0,00","0,00","0,00","-5.000,00","0,00","-6.000,00","0,00","0,00","-434.138,26"
Rescisões,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-3.695,40","0,00","0,00","-3.695,40"
Salários,"0,00","-1.500,00","-1.500,00","-1.500,00","-1.500,00","-1.500,00","-1.500,00","-1.500,00","-2.200,00","-1.500,00","-1.500,00","-1.500,00","-1.500,00","-1.500,00","-1.500,00","-1.500,00","-1.500,00","-1.500,00","-2.500,00","-2.500,00","-3.500,00","-3.500,00","-3.500,00","-3.500,00","-10.700,00","-3.500,00","-3.500,00","-3.500,00","-3.500,00","-3.500,00","-3.500,00","-3.500,00","-3.500,00","-3.500,00","-11.700,00","-4.500,00","-5.000,00","-9.500,00","-9.500,00","-9.500,00","-9.500,00","-9.500,00","-9.500,00","-9.500,00","-9.500,00","-9.500,00","-9.500,00","-18.000,00","-11.000,00","-11.000,00","-11.000,00","-12.500,00","-11.000,00","-11.000,00","-11.000,00","-11.000,00","-13.500,00","-11.000,00","-13.500,00","-9.500,00","-9.500,00","-368.100,00"
Telefonia e Internet,"0,00","0,00","-334,07","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-289,90","-289,90","-289,90","-289,90","-289,90","-289,90","-579,80","-766,84","-579,80","-579,80","-592,52","-579,80","-579,80","-6.331,83"
Telefonia Móvel,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-15,00","0,00","0,00","0,00","0,00","0,00","-54,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-69,00"
"Transporte Urbano (táxi, Uber)","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-300,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-1.990,00","-1.078,00","-1.000,00","-1.000,00","-1.000,00","-6.368,00"
Vale-Alimentação,"0,00","0,00","0,00","-975,15","-1.882,83","-2.101,93","-5.762,49","-4.410,07","-1.215,56","-2.221,09","0,00","0,00","0,00","-4.165,52","-2.500,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.592,90","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-2.000,00","-117.827,54"
Vale-Transporte,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-1.749,79","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-1.749,79"
04.3 Despesas Operacionais,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Sem lançamentos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
04T Lucro / Prejuízo Operacional,"-1.570,80","37.668,22","-14.271,91","6.984,07","69.849,00","24.011,15","63.280,23","1.975,44","20.742,36","-19.564,44","7.258,68","18.323,75","42.727,81","-2.997,98","10.829,87","14.583,81","33.569,28","52.215,11","22.590,80","23.309,61","30.960,78","21.717,42","40.525,89","22.748,11","28.097,85","39.137,61","40.220,19","35.367,73","-12.098,95","39.689,68","23.924,64","38.555,23","63.047,59","39.787,88","80.922,47","77.475,61","72.157,74","93.892,39","104.272,52","94.387,79","99.413,83","143.507,82","72.237,59","90.729,71","113.049,49","106.319,83","124.048,20","87.008,15","149.805,88","47.776,24","91.773,77","106.243,22","122.188,02","104.139,13","157.582,94","165.619,04","99.507,68","127.735,05","98.248,62","132.044,22","103.675,57","3.728.958,23"
05 Receitas e Despesas Financeiras,"0,00","-59,50","-56,00","-59,50","-63,00","-59,50","-56,00","-63,00","-56,00","-59,50","-59,50","-63,00","-63,00","-94,50","-101,50","-94,50","-98,00","-101,50","-94,50","-94,50","-94,50","-91,00","-87,50","-94,50","-94,50","-87,50","-91,00","-94,50","-98,00","-98,00","-98,00","-98,00","-98,00","-101,50","-101,50","-52,19","-73,30","-4.154,52","-5.140,16","-7.103,07","-6.930,41","-7.118,89","-7.666,50","-6.427,55","-9.549,63","-6.909,89","-6.537,90","-5.732,41","-5.698,89","-5.436,09","-5.625,87","-6.402,34","-4.322,38","-3.314,91","-4.554,90","-5.287,22","-4.965,46","-2.751,24","-15.484,77","-7.299,77","-7.261,27","-154.626,03"
05.1 Receitas e Rendimentos Financeiros,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Sem lançamentos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
05.2 Despesas Financeiras,"0,00","-59,50","-56,00","-59,50","-63,00","-59,50","-56,00","-63,00","-56,00","-59,50","-59,50","-63,00","-63,00","-94,50","-101,50","-94,50","-98,00","-101,50","-94,50","-94,50","-94,50","-91,00","-87,50","-94,50","-94,50","-87,50","-91,00","-94,50","-98,00","-98,00","-98,00","-98,00","-98,00","-101,50","-101,50","-52,19","-73,30","-4.154,52","-5.140,16","-7.103,07","-6.930,41","-7.118,89","-7.666,50","-6.427,55","-9.549,63","-6.909,89","-6.537,90","-5.732,41","-5.698,89","-5.436,09","-5.625,87","-6.402,34","-4.322,38","-3.314,91","-4.554,90","-5.287,22","-4.965,46","-2.751,24","-15.484,77","-7.299,77","-7.261,27","-154.626,03"
Tarifas,"0,00","-59,50","-56,00","-59,50","-63,00","-59,50","-56,00","-63,00","-56,00","-59,50","-59,50","-63,00","-63,00","-94,50","-101,50","-94,50","-98,00","-101,50","-94,50","-94,50","-94,50","-91,00","-87,50","-94,50","-94,50","-87,50","-91,00","-94,50","-98,00","-98,00","-98,00","-98,00","-98,00","-101,50","-101,50","-45,50","-49,00","-49,00","-161,00","-157,50","-161,00","-157,50","-161,00","-137,39","-147,68","-201,99","-203,00","-206,50","-192,50","-206,50","-203,00","-217,00","-171,50","-213,50","-217,00","-329,00","-287,00","-294,00","-266,00","-38,50","0,00","-7.298,06"
Tarifas de Cartões de Crédito,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-6,69","-24,30","-4.105,52","-4.979,16","-6.945,57","-6.769,41","-6.961,39","-7.505,50","-6.290,16","-9.401,95","-6.707,90","-6.334,90","-5.525,91","-5.506,39","-5.229,59","-5.422,87","-6.185,34","-4.150,88","-3.101,41","-4.337,90","-4.958,22","-4.678,46","-2.457,24","-15.218,77","-7.261,27","-7.261,27","-147.327,97"
06 Outras Receitas e Despesas Não Operacionais,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-245,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-17.500,00","0,00","0,00","0,00","28.368,65","10.123,65"
06.1 Outras Receitas Não Operacionais,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","28.368,65","28.368,65"
Receitas a Identificar,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","28.368,65","28.368,65"
06.2 Outras Despesas Não Operacionais,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-245,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-17.500,00","0,00","0,00","0,00","0,00","-18.245,00"
Despesas a identificar,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-245,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-745,00"
Despesas Pessoais dos Sócios,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-17.500,00","0,00","0,00","0,00","0,00","-17.500,00"
06T Lucro / Prejuízo Líquido,"-1.570,80","37.608,72","-14.327,91","6.924,57","69.786,00","23.951,65","63.224,23","1.912,44","20.686,36","-19.623,94","7.199,18","18.260,75","42.664,81","-3.092,48","10.728,37","14.489,31","33.471,28","52.113,61","22.496,30","23.215,11","30.866,28","21.626,42","40.438,39","22.653,61","28.003,35","39.050,11","40.129,19","35.273,23","-12.196,95","39.591,68","23.826,64","38.457,23","62.949,59","39.686,38","80.320,97","77.423,42","72.084,44","89.737,87","99.132,36","87.284,72","92.483,42","136.388,93","64.571,09","84.302,16","103.499,86","99.409,94","117.265,30","81.275,74","144.106,99","42.340,15","86.147,90","99.840,88","117.865,64","100.824,22","153.028,04","160.331,82","77.042,22","124.983,81","82.763,85","124.744,45","124.782,95","3.584.455,85"
07 Despesas com Investimentos e Empréstimos,"-2.000,00","0,00","0,00","0,00","0,00","-19.499,46","-5.339,24","-10.000,00","-15.000,00","0,00","0,00","0,00","-9.365,62","0,00","0,00","0,00","-3.000,00","-23.232,81","-680,00","0,00","-1.918,80","-5.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.110,62","0,00","-10.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-912,44","-19.000,00","-4.133,47","-1.048,33","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-148.440,79"
07.1 Investimentos em Imobilizado,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","-10.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-1.380,80","0,00","0,00","-1.918,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.110,62","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-912,44","-3.500,00","-4.133,47","-1.048,33","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-41.204,46"
Computadores e Periféricos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-1.380,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-1.380,80"
Construções em Andamento - Imóvel Próprio,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","-10.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-10.000,00"
"Máquinas, Equipamentos e Instalações Industriais","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-912,44","-3.500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-4.412,44"
Software / Licença de Uso,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-1.918,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.110,62","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-4.133,47","-1.048,33","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-1.080,00","-25.411,22"
07.2 Empréstimos e Dívidas,"-2.000,00","0,00","0,00","0,00","0,00","-19.499,46","-5.339,24","0,00","-15.000,00","0,00","0,00","0,00","-9.365,62","0,00","0,00","0,00","-3.000,00","-21.852,01","-680,00","0,00","0,00","-5.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-10.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-15.500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-107.236,33"
Empréstimos de Sócios,"-2.000,00","0,00","0,00","0,00","0,00","-3.500,00","0,00","0,00","-15.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-3.000,00","0,00","-680,00","0,00","0,00","-5.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-10.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-15.500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-54.680,00"
Parcelamento do Simples Nacional,"0,00","0,00","0,00","0,00","0,00","-15.999,46","-5.339,24","0,00","0,00","0,00","0,00","0,00","-9.365,62","0,00","0,00","0,00","0,00","-21.852,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-52.556,33"
07T Lucro / Prejuízo Final,"-3.570,80","37.608,72","-14.327,91","6.924,57","69.786,00","4.452,19","57.884,99","-8.087,56","5.686,36","-19.623,94","7.199,18","18.260,75","33.299,19","-3.092,48","10.728,37","14.489,31","30.471,28","28.880,80","21.816,30","23.215,11","28.947,48","16.626,42","40.438,39","22.653,61","28.003,35","39.050,11","40.129,19","35.273,23","-12.196,95","39.591,68","23.826,64","38.457,23","60.838,97","39.686,38","70.320,97","77.423,42","72.084,44","89.737,87","99.132,36","87.284,72","92.483,42","136.388,93","63.658,65","65.302,16","99.366,39","98.361,61","116.185,30","80.195,74","143.026,99","41.260,15","85.067,90","98.760,88","116.785,64","99.744,22","151.948,04","159.251,82","75.962,22","123.903,81","81.683,85","123.664,45","123.702,95","3.436.015,06"